n =  20000 | m =   1000 | D = 0.0172 | t = 0.0441 | Not reject.
n =  20000 | m =  20000 | D = 0.0000 | t = 0.0136 | Not reject.
n =  20000 | m = 100000 | D = 0.0124 | t = 0.0105 | Reject.
n = 100000 | m =      5 | D = 0.1441 | t = 0.6082 | Not reject.
n = 100000 | m =     10 | D = 0.0967 | t = 0.4301 | Not reject.
n = 100000 | m =    100 | D = 0.0361 | t = 0.1361 | Not reject.
n = 100000 | m =    200 | D = 0.0517 | t = 0.0963 | Not reject.
n = 100000 | m =    400 | D = 0.0361 | t = 0.0681 | Not reject.
n = 100000 | m =    600 | D = 0.0219 | t = 0.0557 | Not reject.
n = 100000 | m =    800 | D = 0.0105 | t = 0.0483 | Not reject.
n = 100000 | m =   1000 | D = 0.0151 | t = 0.0432 | Not reject.
n = 100000 | m =  20000 | D = 0.0124 | t = 0.0105 | Reject.
n = 100000 | m = 100000 | D = 0.0000 | t = 0.0061 | Not reject.
