n =  20000 | m =  20000 | D = 0.0000 | t = 0.0136 | Not reject.
n =  20000 | m = 100000 | D = 0.0110 | t = 0.0105 | Reject.
n = 100000 | m =      5 | D = 0.7732 | t = 0.6082 | Reject.
n = 100000 | m =     10 | D = 0.2367 | t = 0.4301 | Not reject.
n = 100000 | m =    100 | D = 0.0854 | t = 0.1361 | Not reject.
n = 100000 | m =    200 | D = 0.0506 | t = 0.0963 | Not reject.
n = 100000 | m =    400 | D = 0.0508 | t = 0.0681 | Not reject.
n = 100000 | m =    600 | D = 0.0332 | t = 0.0557 | Not reject.
n = 100000 | m =    800 | D = 0.0193 | t = 0.0483 | Not reject.
n = 100000 | m =   1000 | D = 0.0200 | t = 0.0432 | Not reject.
n = 100000 | m =  20000 | D = 0.0110 | t = 0.0105 | Reject.
n = 100000 | m = 100000 | D = 0.0000 | t = 0.0061 | Not reject.
